annotation_id,annotator,choice,created_at,id,image,lead_time,updated_at
1,1,Forward,2026-04-08T16:56:40.603644Z,1,/data/upload/1/12096c04-Photo_Mar_25_2026_1_12_36_PM_2.jpg,19.022,2026-04-08T16:56:40.603644Z
2,1,Forward,2026-04-08T16:56:51.502336Z,2,/data/upload/1/0f695523-Photo_Mar_25_2026_1_12_36_PM.jpg,5.437,2026-04-08T16:56:51.502336Z
3,1,Forward,2026-04-08T16:57:03.018095Z,3,/data/upload/1/ea2eaf33-Photo_Mar_25_2026_1_12_37_PM_1.jpg,5.312,2026-04-08T16:57:03.018095Z
4,1,Forward,2026-04-08T16:57:10.304599Z,4,/data/upload/1/2db48d25-Photo_Mar_25_2026_1_12_37_PM_2_1.jpg,3.165,2026-04-08T16:57:10.304599Z
5,1,Forward,2026-04-08T16:57:14.876196Z,5,/data/upload/1/234ddc97-Photo_Mar_25_2026_1_12_37_PM_2.jpg,1.317,2026-04-08T16:57:14.876196Z
6,1,Forward,2026-04-08T16:57:18.373152Z,6,/data/upload/1/2aaa5ec6-Photo_Mar_25_2026_1_12_37_PM_3.jpg,1.975,2026-04-08T16:57:18.373152Z
7,1,Forward,2026-04-08T16:57:21.989736Z,7,/data/upload/1/e0f630c8-Photo_Mar_25_2026_1_12_37_PM_4.jpg,1.927,2026-04-08T16:57:21.989736Z
8,1,Forward,2026-04-08T16:57:25.381285Z,8,/data/upload/1/edaf8648-Photo_Mar_25_2026_1_12_37_PM_5.jpg,2.003,2026-04-08T16:57:25.381285Z
9,1,Forward,2026-04-08T16:57:28.294681Z,9,/data/upload/1/4f2e04b2-Photo_Mar_25_2026_1_12_37_PM_6.jpg,1.551,2026-04-08T16:57:28.294681Z
10,1,Forward,2026-04-08T16:57:31.045823Z,10,/data/upload/1/4cb2d36e-Photo_Mar_25_2026_1_12_37_PM_7.jpg,1.447,2026-04-08T16:57:31.045823Z
11,1,Forward,2026-04-08T16:57:33.818551Z,11,/data/upload/1/1b27ea84-Photo_Mar_25_2026_1_12_37_PM_8.jpg,1.256,2026-04-08T16:57:33.818551Z
12,1,Forward,2026-04-08T16:57:37.438854Z,12,/data/upload/1/335f5dbb-Photo_Mar_25_2026_1_12_37_PM.jpg,1.22,2026-04-08T16:57:37.438854Z
13,1,Forward,2026-04-08T16:57:41.427050Z,13,/data/upload/1/70b520c8-Photo_Mar_25_2026_1_12_38_PM_1.jpg,1.651,2026-04-08T16:57:41.427050Z
14,1,Forward,2026-04-08T16:57:44.986163Z,14,/data/upload/1/d3d09337-Photo_Mar_25_2026_1_12_38_PM_2.jpg,2.208,2026-04-08T16:57:44.986163Z
